Movie Title,Streaming Service,Date
Fired Up!,HULU,October 1
Fright Night,HULU,October 1
The Fugitive,HULU,October 1
The Gallows,HULU,October 1
The Girl With The Dragon Tattoo,HULU,October 1
Godzilla Vs. Mechagodzilla II,HULU,October 1
Godzilla Vs. Destoroyah,HULU,October 1
Godzilla Vs. Spacegodzilla,HULU,October 1
"Godzilla, Mothra, And King Ghidorah: Giant Monsters All-Out Attack",HULU,October 1
Godzilla Vs. Megaguirus: The G Annihilation Strategy,HULU,October 1
Godzilla Against Mechagodzilla,HULU,October 1
Grandma's Boy,HULU,October 1
The Green Hornet,HULU,October 1
The Hand That Rocks The Cradle,HULU,October 1
Higher Learning,HULU,October 1
Honeymoon,HULU,October 1
How to be Single,HULU,October 1
The Hulk,HULU,October 1
I Saw The Devil,HULU,October 1
It Might Get Loud,HULU,October 1
Jack And Diane ,HULU,October 1
Layer Cake,HULU,October 1
Let Me In,HULU,October 1
Like Mike,HULU,October 1
Looper,HULU,October 1
Lords of Dogtown,HULU,October 1
Marrowbone,HULU,October 1
Mary Shelley's Frankenstein,HULU,October 1
Monster House,HULU,October 1
The Mortal Instruments,HULU,October 1
National Lampoon's Dorm Daze 2,HULU,October 1
The New Age,HULU,October 1
No Eres Tu Soy Yo,HULU,October 1
"O Brother, Where Art Thou?",HULU,October 1
Piranha 3-D,HULU,October 1
The Pursuit of Happyness,HULU,October 1
Q & ,HULU,October 1
Robin Hood,HULU,October 1
The Rocky Horror Picture Show,HULU,October 1
The Roommate,HULU,October 1
Salt,HULU,October 1
Satanic,HULU,October 1
The Sixth Sense,HULU,October 1
The Skin I Live In,HULU,October 1
Spirit: Stallion Of Cimarron,HULU,October 1
Splinter,HULU,October 1
Spy Next Door,HULU,October 1
Stripper,HULU,October 1
Sunchaser,HULU,October 1
That Night ,HULU,October 1
Todo Cambia,HULU,October 1
The Transporter,HULU,October 1
Turtle Beach,HULU,October 1
Twister,HULU,October 1
Tyrel,HULU,October 1
Unbreakable,HULU,October 1
Undercover Brother,HULU,October 1
V/H/S ,HULU,October 1
V/H/S 2,HULU,October 1
V/H/S: Viral ,HULU,October 1
Vanishing On 7th Street,HULU,October 1
Wild Wild West,HULU,October 1
Winchester,HULU,October 1
The Wheel,HULU,October 1
Women On The Verge Of A Nervous Breakdown,HULU,October 1
X-Men,HULU,October 1
XX,HULU,October 1
Angel Heart,PARAMOUNT+,October 1
Annihilation,PARAMOUNT+,October 1
Bloodrunners,PARAMOUNT+,October 1
Burnt Offerings,PARAMOUNT+,October 1
Cursed,PARAMOUNT+,October 1
Domestic Disturbance,PARAMOUNT+,October 1
Event Horizon,PARAMOUNT+,October 1
I Know What You Did Last Summer,PARAMOUNT+,October 1
I Still Know What You Did Last Summer,PARAMOUNT+,October 1
Invasion of the Body Snatchers,PARAMOUNT+,October 1
Jacob's Ladder,PARAMOUNT+,October 1
Jennifer's Body,PARAMOUNT+,October 1
Monster High: 13 Wishes,PARAMOUNT+,October 1
Monster High: Best of the Ghouls,PARAMOUNT+,October 1
Monster High: Best of the Ghouls,PARAMOUNT+,October 1
"Monster High: Boo York, Boo York",PARAMOUNT+,October 1
Monster High: Escape From Skull Shores,PARAMOUNT+,October 1
Monster High: Freaky Fusion,PARAMOUNT+,October 1
Monster High: Friday Night Frights,PARAMOUNT+,October 1
Monster High: Fright On!,PARAMOUNT+,October 1
"Monster High: Frights, Camera, Action!",PARAMOUNT+,October 1
Monster High: Ghouls Rule,PARAMOUNT+,October 1
Monster High: Great Scarrier Reef,PARAMOUNT+,October 1
Monster High: Haunted,PARAMOUNT+,October 1
Monster High: New Ghoul at School,PARAMOUNT+,October 1
Monster High: Scaremester Collection,PARAMOUNT+,October 1
Monster High: Scaris City of Frights,PARAMOUNT+,October 1
Monster High: Welcome to Monster High,PARAMOUNT+,October 1
Monster High: Why Do Ghouls Fall in Love,PARAMOUNT+,October 1
Phantoms,PARAMOUNT+,October 1
Shutter Island,PARAMOUNT+,October 1
Tales From the Darkside: ,PARAMOUNT+,October 1
The Movie,PARAMOUNT+,October 1
The Addams Family,PARAMOUNT+,October 1
The Devil Inside,PARAMOUNT+,October 1
The Hole,PARAMOUNT+,October 1
The Last Exorcism Part II,PARAMOUNT+,October 1
The Unraveling,PARAMOUNT+,October 1
The Woman in Black,PARAMOUNT+,October 1
V for Vengeance,PARAMOUNT+,October 1
The 40-Year-Old Virgin,PEACOCK,October 1
Abraham Lincoln: Vampire Hunter,PEACOCK,October 1
Air Force One,PEACOCK,October 1
Apollo 13,PEACOCK,October 1
Arachnophobia,PEACOCK,October 1
Back to the Future,PEACOCK,October 1
Back to the Future II,PEACOCK,October 1
Back to the Future III,PEACOCK,October 1
The Best Man,PEACOCK,October 1
Blippi Celebrates Dia De Los Muertos,PEACOCK,October 1
Blippi's Special Delivery,PEACOCK,October 1
Blippi's Spooky Spell Halloween,PEACOCK,October 1
Bombshell,PEACOCK,October 1
The Bourne Ultimatum,PEACOCK,October 1
The Bourne Legacy,PEACOCK,October 1
Child's Play 2,PEACOCK,October 1
Child's Play 3,PEACOCK,October 1
Bride of Chucky,PEACOCK,October 1
Seed of Chucky,PEACOCK,October 1
Curse of Chucky,PEACOCK,October 1
Cult of Chucky,PEACOCK,October 1
Casper's Haunted Christmas,PEACOCK,October 1
Cesar Chavez,PEACOCK,October 1
The Chronicles of Riddick,PEACOCK,October 1
Cirque Du Freak: The Vampire's Assistant,PEACOCK,October 1
Clown,PEACOCK,October 1
The Constant Gardener,PEACOCK,October 1
Curve,PEACOCK,October 1
Dante's Peak,PEACOCK,October 1
Dead Silence,PEACOCK,October 1
"Definitely, Maybe",PEACOCK,October 1
Delirium,PEACOCK,October 1
The Devil Wears Prada,PEACOCK,October 1
Duplicity,PEACOCK,October 1
"E.T., The Extra-Terrestrial",PEACOCK,October 1
Fantastic Four,PEACOCK,October 1
Galaxy Quest,PEACOCK,October 1
Gallowwalkers,PEACOCK,October 1
Ghost Rider,PEACOCK,October 1
The Godfather,PEACOCK,October 1
The Godfather Part II,PEACOCK,October 1
The Godfather Part III,PEACOCK,October 1
Hall Pass,PEACOCK,October 1
The Hills Have Eyes 2,PEACOCK,October 1
Hitman,PEACOCK,October 1
How to Train Your Dragon,PEACOCK,October 1
Insidious,PEACOCK,October 1
Insidious: Chapter 3,PEACOCK,October 1
Jumanji,PEACOCK,October 1
Knock Knock,PEACOCK,October 1
Krampus,PEACOCK,October 1
Last Witch Hunter,PEACOCK,October 1
Leatherface,PEACOCK,October 1
Leprechaun,PEACOCK,October 1
Leprechaun II,PEACOCK,October 1
Leprechaun III,PEACOCK,October 1
Leprechaun IV: Lost in Space,PEACOCK,October 1
Leprechaun V: In the Hood,PEACOCK,October 1
Leprechaun VI: Back 2 Tha Hood,PEACOCK,October 1
Leprechaun Origins,PEACOCK,October 1
Minions,PEACOCK,October 1
Mockingbird,PEACOCK,October 1
Monster High: New Ghoul at School,PEACOCK,October 1
Monster High: 13 Wishes,PEACOCK,October 1
Monster High: Freaky Fusion,PEACOCK,October 1
Monster High: Scaremester Collection,PEACOCK,October 1
"Monster High: Boo York, Book York",PEACOCK,October 1
Monster High: Haunted,PEACOCK,October 1
My Soul to Take,PEACOCK,October 1
National Lampoon's Animal House,PEACOCK,October 1
The Natural,PEACOCK,October 1
A Perfect Getaway,PEACOCK,October 1
Pitch Black,PEACOCK,October 1
The Return,PEACOCK,October 1
The River Wild,PEACOCK,October 1
"Rookie of the Year,",PEACOCK,October 1
Saw,PEACOCK,October 1
Seven,PEACOCK,October 1
South Paw,PEACOCK,October 1
Spy,PEACOCK,October 1
Stephanie,PEACOCK,October 1
Taken,PEACOCK,October 1
Taken 2,PEACOCK,October 1
Taken 3,PEACOCK,October 1
The Tale of Despereaux,PEACOCK,October 1
Tremors,PEACOCK,October 1
Tremors 2: Aftershocks,PEACOCK,October 1
Tremors 3: Back to Perfection,PEACOCK,October 1
Tremors 4: The Legend Begins,PEACOCK,October 1
Tremors 5: Bloodlines,PEACOCK,October 1
Tremors 6: A Cold Day in Hell,PEACOCK,October 1
Unfriended: Dark Web,PEACOCK,October 1
Van Helsing,PEACOCK,October 1
The Veil,PEACOCK,October 1
The Visit,PEACOCK,October 1
The Wedding Singer,PEACOCK,October 1
X-Men: First Class,PEACOCK,October 1
Zombieland,PEACOCK,October 1
Dateline,PEACOCK,October 1
El Fuego Del Destino,PEACOCK,October 1
Saturday Night Live,PEACOCK,October 1
12 Dates of Christmas,PRIME VIDEO,October 1
13 Hours: The Secret Soldiers of Benghazi,PRIME VIDEO,October 1
7 Days to Vegas,PRIME VIDEO,October 1
A Christmas In Vermont ,PRIME VIDEO,October 1
A Christmas Solo,PRIME VIDEO,October 1
A.I. Artificial Intelligence,PRIME VIDEO,October 1
Abraham Lincoln: Vampire Hunter,PRIME VIDEO,October 1
Ace the Case: Manhattan Mystery,PRIME VIDEO,October 1
Advantageous,PRIME VIDEO,October 1
Another Time,PRIME VIDEO,October 1
Audrey Rose,PRIME VIDEO,October 1
Baby Boom,PRIME VIDEO,October 1
Babymoon,PRIME VIDEO,October 1
Beat Street,PRIME VIDEO,October 1
Big House,PRIME VIDEO,October 1
Bloodrunners,PRIME VIDEO,October 1
Bridesmaids,PRIME VIDEO,October 1
Bridge and Tunnel,PRIME VIDEO,October 1
Buddymoon,PRIME VIDEO,October 1
Burnt Offerings,PRIME VIDEO,October 1
Christmas Crime Story,PRIME VIDEO,October 1
Colewell,PRIME VIDEO,October 1
Colors of Heaven,PRIME VIDEO,October 1
Cosmos,PRIME VIDEO,October 1
Cyrus,PRIME VIDEO,October 1
Dark Crimes,PRIME VIDEO,October 1
Daylight Savings,PRIME VIDEO,October 1
Dickie Roberts: Former Child Star,PRIME VIDEO,October 1
Edward Scissorhands,PRIME VIDEO,October 1
End of Sentence,PRIME VIDEO,October 1
Falcon Song,PRIME VIDEO,October 1
Fire In The Sky,PRIME VIDEO,October 1
For Colored Girls,PRIME VIDEO,October 1
Get Shorty,PRIME VIDEO,October 1
Going To Brazil,PRIME VIDEO,October 1
Hackers,PRIME VIDEO,October 1
Hal King,PRIME VIDEO,October 1
Hannibal,PRIME VIDEO,October 1
Hearts And Bones,PRIME VIDEO,October 1
Heaven Can Wait,PRIME VIDEO,October 1
